NOMBRE;DIRECCION;TELEFONOS;HORARIOS;TIPO_SERVICIO;X;Y
Abitab 75-0;Justicia 2015 Bis Esq. Lima;2401 09 12;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;575019.153127092;6138581.48974722
Abitab 76-0;Ejido 1520 Entre Avda. Uruguay Y Paysandú;2900 13 13;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;574273.701041938;6137486.31183361
Abitab 76-3;Avda. Agraciada 3778 Entre Zufriategui Y Lozano;2309 33 25;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;572086.229248349;6141913.86531406
Abitab 77-1;Grecia 4249 Entre Japón Y Estados Unidos;2311 15 29 ;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;568423.920714924;6140538.23568765
Abitab 77-2;Avda. Carlos María Ramírez 1698 Esq. Grecia;2311 12 87 ;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;568443.131185315;6140682.35527582
Abitab 77-3;Avda. Luis Batlle Berres 6602 Esq. Camino Tomkinson;2312 40 60;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;566537.479531379;6144925.30122534
Abitab 77-4;Santa Lucía 5374 Entre Honor Y Yugoeslavia;2309 77 03;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;569255.25362776;6144201.21201287
Abitab 78-2;Avda. Gral. Rivera 2684 Bis Esq. Soca;2707 85 77;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;577058.896639709;6137357.51382718
Abitab 78-3;Avda. Gral. Rivera 3060 Esq. Mac Eachen;2623 15 31;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;577699.501779937;6137354.20216733
Abitab 79-0;Bvar Artigas 1649;2400 22 09;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;576277.352397322;6137970.74319517
Abitab 79-1;Avda. Gral. Paz 1449 Esq. Caramurú;2606 28 61 - 2606 27 41;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;584042.467976433;6138462.03427517
Abitab 79-2;Colombes 1433 Esq. Avda. Gral. Rivera;2619 78 02;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;580783.164744204;6138388.57579106
Abitab 79-3;Camino Maldonado 7724 Esq. Camino Repetto - Disco;2222 93 56;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;583527.149487271;6148556.75526222
Abitab 79-4;Almirante Harwood S/N Esq. Avda. Gral. Rivera - Estación Ancap;2604 07 75;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;584797.409455585;6138750.37557191
Abitab 79-5;Cooper 2115 / 17 Entre Avda. Juan B. Alberdi Y Costa Rica;2601 69 60;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;585269.387865191;6139843.21152832
Abitab 79-6;Etiopía N° 190 Esq. Liberia;2311 2727;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;566768.000624576;6139180.14083844
Abitab 80-2;Avda. Uruguay 1032 Bis Entre Julio Herrera Y Obes Y Río Negro;2900 05 81 ;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;573600.74287147;6137367.37053105
Abitab 80-3;Grecia 3816 Esq. Rusia;2312 78 05;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;568583.325740653;6139709.52544736
Abitab 80-4;China 2248 Entre Dinamarca Y Patagonia;2311 54 66;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;567481.23580757;6139797.854261
Abitab 80-5;Avda. José Belloni 4402 Esq. Matilde Pacheco;2222 06 48;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;578623.683431919;6146293.09977203
Abitab 81-0;Avda. Gral. Rivera 2204 Esq. Juan Paullier;2408 87 42 ;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;576043.536845244;6137476.42902405
Abitab 83-0;Avda. 8 De Octubre 2953 Esq. Jaime Cibils;2480 16 14 ;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;577075.865019475;6139413.50742972
Abitab 88-0;Avda. Millán 3782 Esq. Avda. Dr. Luis Alberto De Herrera;2336 33 14;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;573518.215304424;6142369.98211548
Abitab 88-1;Avda. Lezica 6339 Esq. Guanahany;2323 51 89;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;568785.696048968;6149217.57240943
Abitab 88-2;Camino Cibils 5967;2315 55 99 ;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;566826.185834219;6141931.88442157
Abitab 89-0;Bvar. Aparicio Saravia 4620 Esq. Camino Coronel Raíz;2359 79 56;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;573085.702389651;6145814.65381528
Abitab 89-1;Plaza Vidiella 5632 Bis Entre Avda. Eugenio Garzón Y Américo Pasadore;2320 93 78;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;571186.129454356;6148240.62472958
